"Year","Labour productivity and related measures","Industry","VALUE"
2013,"Nominal value added","Energy sector",1112752
2013,"Nominal value added","Information and communication sector",1335965
2013,"Real value added","All industries",34290602
2013,"Real value added","Business sector industries",20645625
2013,"Real value added","Goods-producing businesses",6569493
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",836827
2013,"Real value added","Mining and oil and gas extraction [BS21]",383029
2013,"Real value added","Utilities [BS22]",707152
2013,"Real value added","Construction [BS23]",2137200
2013,"Real value added","Manufacturing [BS3A]",2503835
2013,"Real value added","Service-producing businesses",14075700
2013,"Real value added","Energy sector",1127794
2013,"Real value added","Information and communication sector",1299845
2013,"Labour productivity","All industries",43.4
2013,"Labour productivity","Business sector industries",36.4
2013,"Labour productivity","Goods-producing businesses",40.4
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",30.6
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",88.4
2013,"Labour productivity","Utilities [BS22]",177
2013,"Labour productivity","Construction [BS23]",32.8
2013,"Labour productivity","Manufacturing [BS3A]",40.5
2013,"Labour productivity","Service-producing businesses",34.8
2013,"Labour productivity","Energy sector",160.6
2013,"Labour productivity","Information and communication sector",73
2013,"Total compensation per hour worked","All industries",27.66
2013,"Total compensation per hour worked","Business sector industries",23.88
2013,"Total compensation per hour worked","Goods-producing businesses",26.84
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",17.88
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",41.59
2013,"Total compensation per hour worked","Utilities [BS22]",51.55
2013,"Total compensation per hour worked","Construction [BS23]",25.11
2013,"Total compensation per hour worked","Manufacturing [BS3A]",29.99
2013,"Total compensation per hour worked","Service-producing businesses",22.69
2013,"Total compensation per hour worked","Energy sector",51.81
2013,"Total compensation per hour worked","Information and communication sector",37.1
2013,"Unit labour cost","All industries",0.637
2013,"Unit labour cost","Business sector industries",0.656
2013,"Unit labour cost","Goods-producing businesses",0.665
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.585
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.471
2013,"Unit labour cost","Utilities [BS22]",0.291
2013,"Unit labour cost","Construction [BS23]",0.766
2013,"Unit labour cost","Manufacturing [BS3A]",0.741
2013,"Unit labour cost","Service-producing businesses",0.651
2013,"Unit labour cost","Energy sector",0.323
2013,"Unit labour cost","Information and communication sector",0.508
2013,"Unit labour cost in US dollars","All industries",0.619
2013,"Unit labour cost in US dollars","Business sector industries",0.637
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.646
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.568
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.457
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.283
2013,"Unit labour cost in US dollars","Construction [BS23]",0.744
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.72
2013,"Unit labour cost in US dollars","Service-producing businesses",0.633
2013,"Unit labour cost in US dollars","Energy sector",0.313
2013,"Unit labour cost in US dollars","Information and communication sector",0.493
2013,"Labour share","All industries",62.4
2013,"Labour share","Business sector industries",65
2013,"Labour share","Goods-producing businesses",66.3
2013,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",56.5
2013,"Labour share","Mining and oil and gas extraction [BS21]",50.6
2013,"Labour share","Utilities [BS22]",28.8
2013,"Labour share","Construction [BS23]",77.2
2013,"Labour share","Manufacturing [BS3A]",73.3
2013,"Labour share","Service-producing businesses",64.4
2013,"Labour share","Energy sector",32.7
2013,"Labour share","Information and communication sector",49.4
2013,"Total number of jobs","All industries",356730
2013,"Total number of jobs","Business sector industries",262310
2013,"Total number of jobs","Goods-producing businesses",71740
2013,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",11185
2013,"Total number of jobs","Mining and oil and gas extraction [BS21]",2340
2013,"Total number of jobs","Utilities [BS22]",2960
2013,"Total number of jobs","Construction [BS23]",24300
2013,"Total number of jobs","Manufacturing [BS3A]",30955
2013,"Total number of jobs","Service-producing businesses",190570
2013,"Total number of jobs","Energy sector",4220
2013,"Total number of jobs","Information and communication sector",7775
2013,"Hours worked for all jobs","All industries",632516.4
2013,"Hours worked for all jobs","Business sector industries",472898.5
2013,"Hours worked for all jobs","Goods-producing businesses",150328.5
2013,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",24107
2013,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",5241.2
2013,"Hours worked for all jobs","Utilities [BS22]",5765
2013,"Hours worked for all jobs","Construction [BS23]",52277.5
2013,"Hours worked for all jobs","Manufacturing [BS3A]",62937.8
2013,"Hours worked for all jobs","Service-producing businesses",322570
2013,"Hours worked for all jobs","Energy sector",8293.9
2013,"Hours worked for all jobs","Information and communication sector",14439.7
2013,"Annual average number of hours worked for all jobs","All industries",1773
2013,"Annual average number of hours worked for all jobs","Business sector industries",1803
2013,"Annual average number of hours worked for all jobs","Goods-producing businesses",2095
2013,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2155
2013,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2240
2013,"Annual average number of hours worked for all jobs","Utilities [BS22]",1948
2013,"Annual average number of hours worked for all jobs","Construction [BS23]",2151
2013,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",2033
2013,"Annual average number of hours worked for all jobs","Service-producing businesses",1693
2013,"Annual average number of hours worked for all jobs","Energy sector",1965
2013,"Annual average number of hours worked for all jobs","Information and communication sector",1857
2013,"Total compensation for all jobs","All industries",17009610
2013,"Total compensation for all jobs","Business sector industries",10819960
2013,"Total compensation for all jobs","Goods-producing businesses",3795940
2013,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",421740
2013,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",205297
2013,"Total compensation for all jobs","Utilities [BS22]",305856
2013,"Total compensation for all jobs","Construction [BS23]",1268557
2013,"Total compensation for all jobs","Manufacturing [BS3A]",1594490
2013,"Total compensation for all jobs","Service-producing businesses",7024020
2013,"Total compensation for all jobs","Energy sector",422992
2013,"Total compensation for all jobs","Information and communication sector",504356
2013,"Nominal value added","All industries",29092326
2013,"Nominal value added","Business sector industries",18714757
2013,"Nominal value added","Goods-producing businesses",6758953
2013,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",685796
2013,"Nominal value added","Mining and oil and gas extraction [BS21]",404759
2013,"Nominal value added","Utilities [BS22]",892407
2013,"Nominal value added","Construction [BS23]",1831663
2013,"Nominal value added","Manufacturing [BS3A]",2944328
2013,"Nominal value added","Service-producing businesses",11955804
2013,"Nominal value added","Energy sector",1680094
2013,"Nominal value added","Information and communication sector",971725
2013,"Real value added","All industries",28942609
2013,"Real value added","Business sector industries",18910996
2013,"Real value added","Goods-producing businesses",7102274
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",745660
2013,"Real value added","Mining and oil and gas extraction [BS21]",476370
2013,"Real value added","Utilities [BS22]",1017349
2013,"Real value added","Construction [BS23]",1787615
2013,"Real value added","Manufacturing [BS3A]",3027839
2013,"Real value added","Service-producing businesses",11804819
2013,"Real value added","Energy sector",1798196
2013,"Real value added","Information and communication sector",943051
2013,"Labour productivity","All industries",45.8
2013,"Labour productivity","Business sector industries",40
2013,"Labour productivity","Goods-producing businesses",47.2
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",30.9
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",90.9
2013,"Labour productivity","Utilities [BS22]",176.5
2013,"Labour productivity","Construction [BS23]",34.2
2013,"Labour productivity","Manufacturing [BS3A]",48.1
2013,"Labour productivity","Service-producing businesses",36.6
2013,"Labour productivity","Energy sector",216.8
2013,"Labour productivity","Information and communication sector",65.3
2013,"Total compensation per hour worked","All industries",26.89
2013,"Total compensation per hour worked","Business sector industries",22.88
2013,"Total compensation per hour worked","Goods-producing businesses",25.25
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",17.49
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",39.17
2013,"Total compensation per hour worked","Utilities [BS22]",53.05
2013,"Total compensation per hour worked","Construction [BS23]",24.27
2013,"Total compensation per hour worked","Manufacturing [BS3A]",25.33
2013,"Total compensation per hour worked","Service-producing businesses",21.78
2013,"Total compensation per hour worked","Energy sector",51
2013,"Total compensation per hour worked","Information and communication sector",34.93
2013,"Unit labour cost","All industries",0.588
2013,"Unit labour cost","Business sector industries",0.572
2013,"Unit labour cost","Goods-producing businesses",0.534
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.566
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.431
2013,"Unit labour cost","Utilities [BS22]",0.301
2013,"Unit labour cost","Construction [BS23]",0.71
2013,"Unit labour cost","Manufacturing [BS3A]",0.527
2013,"Unit labour cost","Service-producing businesses",0.595
2013,"Unit labour cost","Energy sector",0.235
2013,"Unit labour cost","Information and communication sector",0.535
2013,"Unit labour cost in US dollars","All industries",0.571
2013,"Unit labour cost in US dollars","Business sector industries",0.556
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.519
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.549
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.418
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.292
2013,"Unit labour cost in US dollars","Construction [BS23]",0.689
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.511
2013,"Unit labour cost in US dollars","Service-producing businesses",0.578
2013,"Unit labour cost in US dollars","Energy sector",0.228
2013,"Unit labour cost in US dollars","Information and communication sector",0.519
2013,"Labour share","All industries",58.5
2013,"Labour share","Business sector industries",57.8
2013,"Labour share","Goods-producing businesses",56.2
2013,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",61.5
2013,"Labour share","Mining and oil and gas extraction [BS21]",50.7
2013,"Labour share","Utilities [BS22]",34.3
2013,"Labour share","Construction [BS23]",69.3
2013,"Labour share","Manufacturing [BS3A]",54.2
2013,"Labour share","Service-producing businesses",58.7
2013,"Labour share","Energy sector",25.2
2013,"Labour share","Information and communication sector",51.9
2013,"Total number of jobs","All industries",4005725
2013,"Total number of jobs","Business sector industries",3012900
2013,"Total number of jobs","Goods-producing businesses",795820
2013,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",69215
2013,"Total number of jobs","Mining and oil and gas extraction [BS21]",19125
2013,"Total number of jobs","Utilities [BS22]",24500
2013,"Total number of jobs","Construction [BS23]",251240
2013,"Total number of jobs","Manufacturing [BS3A]",431740
2013,"Total number of jobs","Service-producing businesses",2217080
2013,"Total number of jobs","Energy sector",26885
2013,"Total number of jobs","Information and communication sector",124805
2013,"Hours worked for all jobs","All industries",6612743.7
2013,"Hours worked for all jobs","Business sector industries",5138889.1
2013,"Hours worked for all jobs","Goods-producing businesses",1505322.8
2013,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",143059.9
2013,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",42897.2
2013,"Hours worked for all jobs","Utilities [BS22]",43189.2
2013,"Hours worked for all jobs","Construction [BS23]",468253.4
2013,"Hours worked for all jobs","Manufacturing [BS3A]",807923.1
2013,"Hours worked for all jobs","Service-producing businesses",3633566.3
2013,"Hours worked for all jobs","Energy sector",48333.5
2013,"Hours worked for all jobs","Information and communication sector",231618.1
2013,"Annual average number of hours worked for all jobs","All industries",1651
2013,"Annual average number of hours worked for all jobs","Business sector industries",1706
2013,"Annual average number of hours worked for all jobs","Goods-producing businesses",1892
2013,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2067
2013,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2243
2013,"Annual average number of hours worked for all jobs","Utilities [BS22]",1763
2013,"Annual average number of hours worked for all jobs","Construction [BS23]",1864
2013,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1871
2013,"Annual average number of hours worked for all jobs","Service-producing businesses",1639
2013,"Annual average number of hours worked for all jobs","Energy sector",1798
2013,"Annual average number of hours worked for all jobs","Information and communication sector",1856
2013,"Total compensation for all jobs","All industries",202804261
2013,"Total compensation for all jobs","Business sector industries",147341981
2013,"Total compensation for all jobs","Goods-producing businesses",53349824
2013,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2181050
2013,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",1893427
2013,"Total compensation for all jobs","Utilities [BS22]",2754367
2013,"Total compensation for all jobs","Construction [BS23]",17184999
2013,"Total compensation for all jobs","Manufacturing [BS3A]",29335981
2013,"Total compensation for all jobs","Service-producing businesses",93992157
2013,"Total compensation for all jobs","Energy sector",3050140
2013,"Total compensation for all jobs","Information and communication sector",8804743
2013,"Nominal value added","All industries",336849238
2013,"Nominal value added","Business sector industries",242524417
2013,"Nominal value added","Goods-producing businesses",90373794
2013,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",4628275
2013,"Nominal value added","Mining and oil and gas extraction [BS21]",5089096
2013,"Nominal value added","Utilities [BS22]",11406815
2013,"Nominal value added","Construction [BS23]",24171367
2013,"Nominal value added","Manufacturing [BS3A]",45078241
2013,"Nominal value added","Service-producing businesses",152150623
2013,"Nominal value added","Energy sector",12818482
2013,"Nominal value added","Information and communication sector",14653220
2013,"Real value added","All industries",331658080
2013,"Real value added","Business sector industries",240099899
2013,"Real value added","Goods-producing businesses",89349888
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",5220098
2013,"Real value added","Mining and oil and gas extraction [BS21]",5570241
2013,"Real value added","Utilities [BS22]",10773234
2013,"Real value added","Construction [BS23]",23143263
2013,"Real value added","Manufacturing [BS3A]",44708095
2013,"Real value added","Service-producing businesses",150758704
2013,"Real value added","Energy sector",12077632
2013,"Real value added","Information and communication sector",15241921
2013,"Labour productivity","All industries",50.2
2013,"Labour productivity","Business sector industries",46.7
2013,"Labour productivity","Goods-producing businesses",59.4
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",36.5
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",129.9
2013,"Labour productivity","Utilities [BS22]",249.4
2013,"Labour productivity","Construction [BS23]",49.4
2013,"Labour productivity","Manufacturing [BS3A]",55.3
2013,"Labour productivity","Service-producing businesses",41.5
2013,"Labour productivity","Energy sector",249.9
2013,"Labour productivity","Information and communication sector",65.8
2013,"Total compensation per hour worked","All industries",30.67
2013,"Total compensation per hour worked","Business sector industries",28.67
2013,"Total compensation per hour worked","Goods-producing businesses",35.44
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",15.25
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",44.14
2013,"Total compensation per hour worked","Utilities [BS22]",63.77
2013,"Total compensation per hour worked","Construction [BS23]",36.7
2013,"Total compensation per hour worked","Manufacturing [BS3A]",36.31
2013,"Total compensation per hour worked","Service-producing businesses",25.87
2013,"Total compensation per hour worked","Energy sector",63.11
2013,"Total compensation per hour worked","Information and communication sector",38.01
2013,"Unit labour cost","All industries",0.611
2013,"Unit labour cost","Business sector industries",0.614
2013,"Unit labour cost","Goods-producing businesses",0.597
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.418
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.34
2013,"Unit labour cost","Utilities [BS22]",0.256
2013,"Unit labour cost","Construction [BS23]",0.743
2013,"Unit labour cost","Manufacturing [BS3A]",0.656
2013,"Unit labour cost","Service-producing businesses",0.623
2013,"Unit labour cost","Energy sector",0.253
2013,"Unit labour cost","Information and communication sector",0.578
2013,"Unit labour cost in US dollars","All industries",0.594
2013,"Unit labour cost in US dollars","Business sector industries",0.596
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.58
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.406
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.33
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.248
2013,"Unit labour cost in US dollars","Construction [BS23]",0.721
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.637
2013,"Unit labour cost in US dollars","Service-producing businesses",0.605
2013,"Unit labour cost in US dollars","Energy sector",0.245
2013,"Unit labour cost in US dollars","Information and communication sector",0.561
2013,"Labour share","All industries",60.2
2013,"Labour share","Business sector industries",60.8
2013,"Labour share","Goods-producing businesses",59
2013,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",47.1
2013,"Labour share","Mining and oil and gas extraction [BS21]",37.2
2013,"Labour share","Utilities [BS22]",24.1
2013,"Labour share","Construction [BS23]",71.1
2013,"Labour share","Manufacturing [BS3A]",65.1
2013,"Labour share","Service-producing businesses",61.8
2013,"Labour share","Energy sector",23.8
2013,"Labour share","Information and communication sector",60.1
2013,"Total number of jobs","All industries",6938675
2013,"Total number of jobs","Business sector industries",5501205
2013,"Total number of jobs","Goods-producing businesses",1319665
2013,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",112180
2013,"Total number of jobs","Mining and oil and gas extraction [BS21]",29990
2013,"Total number of jobs","Utilities [BS22]",36750
2013,"Total number of jobs","Construction [BS23]",459685
2013,"Total number of jobs","Manufacturing [BS3A]",681060
2013,"Total number of jobs","Service-producing businesses",4181540
2013,"Total number of jobs","Energy sector",39995
2013,"Total number of jobs","Information and communication sector",241570
2013,"Hours worked for all jobs","All industries",11844727.9
2013,"Hours worked for all jobs","Business sector industries",9505385.9
2013,"Hours worked for all jobs","Goods-producing businesses",2571373.1
2013,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",213213.4
2013,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",65224.9
2013,"Hours worked for all jobs","Utilities [BS22]",70091.2
2013,"Hours worked for all jobs","Construction [BS23]",886629.3
2013,"Hours worked for all jobs","Manufacturing [BS3A]",1336214.3
2013,"Hours worked for all jobs","Service-producing businesses",6934012.8
2013,"Hours worked for all jobs","Energy sector",76907.1
2013,"Hours worked for all jobs","Information and communication sector",462222
2013,"Annual average number of hours worked for all jobs","All industries",1707
2013,"Annual average number of hours worked for all jobs","Business sector industries",1728
2013,"Annual average number of hours worked for all jobs","Goods-producing businesses",1949
2013,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1901
2013,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2175
2013,"Annual average number of hours worked for all jobs","Utilities [BS22]",1907
2013,"Annual average number of hours worked for all jobs","Construction [BS23]",1929
2013,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1962
2013,"Annual average number of hours worked for all jobs","Service-producing businesses",1658
2013,"Annual average number of hours worked for all jobs","Energy sector",1923
2013,"Annual average number of hours worked for all jobs","Information and communication sector",1913
2013,"Total compensation for all jobs","All industries",393527591
2013,"Total compensation for all jobs","Business sector industries",292915350
2013,"Total compensation for all jobs","Goods-producing businesses",93793174
2013,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2851094
2013,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",3176944
2013,"Total compensation for all jobs","Utilities [BS22]",4710753
2013,"Total compensation for all jobs","Construction [BS23]",31630514
2013,"Total compensation for all jobs","Manufacturing [BS3A]",51423869
2013,"Total compensation for all jobs","Service-producing businesses",199122176
2013,"Total compensation for all jobs","Energy sector",5344255
2013,"Total compensation for all jobs","Information and communication sector",19776429
2013,"Nominal value added","All industries",648553978
2013,"Nominal value added","Business sector industries",470621491
2013,"Nominal value added","Goods-producing businesses",147146597
2013,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",5530694
2013,"Nominal value added","Mining and oil and gas extraction [BS21]",7841598
2013,"Nominal value added","Utilities [BS22]",11628106
2013,"Nominal value added","Construction [BS23]",42883901
2013,"Nominal value added","Manufacturing [BS3A]",79262298
2013,"Nominal value added","Service-producing businesses",323474894
2013,"Nominal value added","Energy sector",15609789
2013,"Nominal value added","Information and communication sector",32340071
2013,"Real value added","All industries",642999317
2013,"Real value added","Business sector industries",469862143
2013,"Real value added","Goods-producing businesses",149569431
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",6442807
2013,"Real value added","Mining and oil and gas extraction [BS21]",8057837
2013,"Real value added","Utilities [BS22]",11570049
2013,"Real value added","Construction [BS23]",43170026
2013,"Real value added","Manufacturing [BS3A]",80351164
2013,"Real value added","Service-producing businesses",320270289
2013,"Real value added","Energy sector",15482904
2013,"Real value added","Information and communication sector",30419373
2013,"Labour productivity","All industries",54.3
2013,"Labour productivity","Business sector industries",49.4
2013,"Labour productivity","Goods-producing businesses",58.2
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",30.2
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",123.5
2013,"Labour productivity","Utilities [BS22]",165.1
2013,"Labour productivity","Construction [BS23]",48.7
2013,"Labour productivity","Manufacturing [BS3A]",60.1
2013,"Labour productivity","Service-producing businesses",46.2
2013,"Labour productivity","Energy sector",201.3
2013,"Labour productivity","Information and communication sector",65.8
2013,"Total compensation per hour worked","All industries",33.22
2013,"Total compensation per hour worked","Business sector industries",30.82
2013,"Total compensation per hour worked","Goods-producing businesses",36.48
2013,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",13.37
2013,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",48.71
2013,"Total compensation per hour worked","Utilities [BS22]",67.21
2013,"Total compensation per hour worked","Construction [BS23]",35.68
2013,"Total compensation per hour worked","Manufacturing [BS3A]",38.48
2013,"Total compensation per hour worked","Service-producing businesses",28.72
2013,"Total compensation per hour worked","Energy sector",69.49
2013,"Total compensation per hour worked","Information and communication sector",42.79
2013,"Unit labour cost","All industries",0.612
2013,"Unit labour cost","Business sector industries",0.623
2013,"Unit labour cost","Goods-producing businesses",0.627
2013,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.443
2013,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.394
2013,"Unit labour cost","Utilities [BS22]",0.407
2013,"Unit labour cost","Construction [BS23]",0.733
2013,"Unit labour cost","Manufacturing [BS3A]",0.64
2013,"Unit labour cost","Service-producing businesses",0.622
2013,"Unit labour cost","Energy sector",0.345
2013,"Unit labour cost","Information and communication sector",0.65
2013,"Unit labour cost in US dollars","All industries",0.594
2013,"Unit labour cost in US dollars","Business sector industries",0.605
2013,"Unit labour cost in US dollars","Goods-producing businesses",0.609
2013,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.43
2013,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.383
2013,"Unit labour cost in US dollars","Utilities [BS22]",0.395
2013,"Unit labour cost in US dollars","Construction [BS23]",0.711
2013,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.621
2013,"Unit labour cost in US dollars","Service-producing businesses",0.604
2013,"Unit labour cost in US dollars","Energy sector",0.335
2013,"Unit labour cost in US dollars","Information and communication sector",0.631
2013,"Labour share","All industries",60.7
2013,"Labour share","Business sector industries",62.2
2013,"Labour share","Goods-producing businesses",63.7
2013,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",51.6
2013,"Labour share","Mining and oil and gas extraction [BS21]",40.5
2013,"Labour share","Utilities [BS22]",40.5
2013,"Labour share","Construction [BS23]",73.8
2013,"Labour share","Manufacturing [BS3A]",64.9
2013,"Labour share","Service-producing businesses",61.6
2013,"Labour share","Energy sector",34.2
2013,"Labour share","Information and communication sector",61.2
2013,"Total number of jobs","All industries",655985
2013,"Total number of jobs","Business sector industries",451175
2013,"Total number of jobs","Goods-producing businesses",144300
2013,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",25120
2013,"Total number of jobs","Mining and oil and gas extraction [BS21]",4745
2013,"Total number of jobs","Utilities [BS22]",5030
2013,"Total number of jobs","Construction [BS23]",50155
2013,"Total number of jobs","Manufacturing [BS3A]",59250
2013,"Total number of jobs","Service-producing businesses",306875
2013,"Total number of jobs","Energy sector",6625
2013,"Total number of jobs","Information and communication sector",9760
2013,"Hours worked for all jobs","All industries",1114057.9
2013,"Hours worked for all jobs","Business sector industries",787851.4
2013,"Hours worked for all jobs","Goods-producing businesses",289123.2
2013,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",54284.1
2013,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",10552.5
2013,"Hours worked for all jobs","Utilities [BS22]",9082.5
2013,"Hours worked for all jobs","Construction [BS23]",100425
2013,"Hours worked for all jobs","Manufacturing [BS3A]",114779.1
2013,"Hours worked for all jobs","Service-producing businesses",498728.2
2013,"Hours worked for all jobs","Energy sector",12675.8
2013,"Hours worked for all jobs","Information and communication sector",17637.4
2013,"Annual average number of hours worked for all jobs","All industries",1698
2013,"Annual average number of hours worked for all jobs","Business sector industries",1746
2013,"Annual average number of hours worked for all jobs","Goods-producing businesses",2004
2013,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2161
2013,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2224
2013,"Annual average number of hours worked for all jobs","Utilities [BS22]",1806
2013,"Annual average number of hours worked for all jobs","Construction [BS23]",2002
2013,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1937
2013,"Annual average number of hours worked for all jobs","Service-producing businesses",1625
2013,"Annual average number of hours worked for all jobs","Energy sector",1913
2013,"Annual average number of hours worked for all jobs","Information and communication sector",1807
2013,"Total compensation for all jobs","All industries",32270069
2013,"Total compensation for all jobs","Business sector industries",21471758
2013,"Total compensation for all jobs","Goods-producing businesses",8273194
2013,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",671812
2013,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",452257
2013,"Total compensation for all jobs","Utilities [BS22]",524251
2013,"Total compensation for all jobs","Construction [BS23]",2978191
2013,"Total compensation for all jobs","Manufacturing [BS3A]",3646683
2013,"Total compensation for all jobs","Service-producing businesses",13198564
2013,"Total compensation for all jobs","Energy sector",683861
2013,"Total compensation for all jobs","Information and communication sector",713532
2013,"Nominal value added","All industries",57804446
2013,"Nominal value added","Business sector industries",39592671
2013,"Nominal value added","Goods-producing businesses",17047126
2013,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",2647413
2013,"Nominal value added","Mining and oil and gas extraction [BS21]",2386071
2013,"Nominal value added","Utilities [BS22]",1848246
2013,"Nominal value added","Construction [BS23]",3982680
2013,"Nominal value added","Manufacturing [BS3A]",6182716
2013,"Nominal value added","Service-producing businesses",22545545
2013,"Nominal value added","Energy sector",3877890
2013,"Nominal value added","Information and communication sector",1726949
2013,"Real value added","All industries",57105461
2013,"Real value added","Business sector industries",39670991
2013,"Real value added","Goods-producing businesses",17245563
2013,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",3203787
2013,"Real value added","Mining and oil and gas extraction [BS21]",2277522
2013,"Real value added","Utilities [BS22]",1765923
2013,"Real value added","Construction [BS23]",3776825
2013,"Real value added","Manufacturing [BS3A]",6291420
2013,"Real value added","Service-producing businesses",22426905
2013,"Real value added","Energy sector",3562029
2013,"Real value added","Information and communication sector",1757435
2013,"Labour productivity","All industries",51.3
2013,"Labour productivity","Business sector industries",50.4
2013,"Labour productivity","Goods-producing businesses",59.6
2013,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",59
2013,"Labour productivity","Mining and oil and gas extraction [BS21]",215.8
2013,"Labour productivity","Utilities [BS22]",194.4
2013,"Labour productivity","Construction [BS23]",37.6
2013,"Labour productivity","Manufacturing [BS3A]",54.8
