"Year","GEO","Tenure","Statistics","UOM","VALUE"
2021,"Small population centres, Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",4.5
2021,"Small population centres, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",3.3
2021,"Small population centres, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",6.2
2021,"Small population centres, Newfoundland and Labrador","Owner","Number of households in core housing need","Number",1000
2021,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",311
2021,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",1948
2021,"Small population centres, Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",2.4
2021,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",1.1
2021,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",5.5
2021,"Small population centres, Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",1100
2021,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",371
2021,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",2094
2021,"Small population centres, Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",1.2
2021,"Small population centres, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",0.6
2021,"Small population centres, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",2.7
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",0
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",0
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",NA
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",1000
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",311
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",1948
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",2.7
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",1.2
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",6
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",1100
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",371
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",2094
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",1.4
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.6
2021,"Small population centres, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",3
2021,"Small population centres, Newfoundland and Labrador","Renter","Number of households in core housing need","Number",3500
2021,"Small population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of households","Number",2460
2021,"Small population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, number of households","Number",4662
2021,"Small population centres, Newfoundland and Labrador","Renter","Percentage of households in core housing need","Percent",18.8
2021,"Small population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of households","Percent",14.1
2021,"Small population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of households","Percent",25
2021,"Small population centres, Newfoundland and Labrador","Renter","Number of persons in core housing need","Number",4500
2021,"Small population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of persons","Number",2985
2021,"Small population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, number of persons","Number",6230
2021,"Small population centres, Newfoundland and Labrador","Renter","Percentage of persons in core housing need","Percent",12.2
2021,"Small population centres, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of persons","Percent",8.7
2021,"Small population centres, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of persons","Percent",16.8
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Number of households in core housing need","Number",2500
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",1529
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",3572
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",17
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",11.6
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",24
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Number of persons in core housing need","Number",3100
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",1844
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",4661
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",10.4
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",6.7
2021,"Small population centres, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",15.9
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Number of households in core housing need","Number",1000
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",683
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",1369
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of households in core housing need","Percent",26
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",18.8
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",35
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Number of persons in core housing need","Number",1400
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",812
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",2159
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",19.5
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",11.8
2021,"Small population centres, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",30
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Number of households in core housing need","Number",6000
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of households","Number",3671
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of households","Number",8647
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Percentage of households in core housing need","Percent",7
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of households","Percent",4.6
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of households","Percent",10.4
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Number of persons in core housing need","Number",11900
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of persons","Number",6209
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of persons","Number",18361
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",6
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",3.6
2021,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",9.9
2021,"Rural areas, Newfoundland and Labrador","Owner","Number of households in core housing need","Number",4500
2021,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",2349
2021,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",6996
2021,"Rural areas, Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",5.8
2021,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",3.5
2021,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",9.5
2021,"Rural areas, Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",9800
2021,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",4163
2021,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",16398
2021,"Rural areas, Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",5.4
2021,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",2.9
2021,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",9.7
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",100
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",43
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",226
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",200
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",30
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",578
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",1.4
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.2
2021,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",9.7
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",4400
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",2235
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",6885
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",6.1
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",3.6
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",9.9
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",9600
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",3895
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",16079
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",5.7
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",3.1
2021,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",10.2
2021,"Rural areas, Newfoundland and Labrador","Renter","Number of households in core housing need","Number",1500
2021,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of households","Number",680
2021,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, number of households","Number",2334
2021,"Rural areas, Newfoundland and Labrador","Renter","Percentage of households in core housing need","Percent",18.3
2021,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of households","Percent",10.4
2021,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of households","Percent",30
2021,"Rural areas, Newfoundland and Labrador","Renter","Number of persons in core housing need","Number",2100
2021,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of persons","Number",935
2021,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, number of persons","Number",3246
2021,"Rural areas, Newfoundland and Labrador","Renter","Percentage of persons in core housing need","Percent",12.8
2021,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of persons","Percent",6.9
2021,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of persons","Percent",22
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Number of households in core housing need","Number",1000
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",290
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",1780
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",14.9
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",6.9
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",29
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Number of persons in core housing need","Number",1200
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",360
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",2139
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",9.1
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",4
2021,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",19.3
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Number of households in core housing need","Number",500
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",115
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",940
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of households in core housing need","Percent",32
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",15.6
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",53
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Number of persons in core housing need","Number",900
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",191
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",1704
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",27
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",10.6
2021,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",53
2021,"Prince Edward Island","Total, tenure","Number of households in core housing need","Number",4600
2021,"Prince Edward Island","Total, tenure","Low 95% confidence interval, number of households","Number",3724
2021,"Prince Edward Island","Total, tenure","High 95% confidence interval, number of households","Number",5410
2021,"Prince Edward Island","Total, tenure","Percentage of households in core housing need","Percent",7.2
2021,"Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of households","Percent",6
2021,"Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of households","Percent",8.6
2021,"Prince Edward Island","Total, tenure","Number of persons in core housing need","Number",7300
2021,"Prince Edward Island","Total, tenure","Low 95% confidence interval, number of persons","Number",5614
2021,"Prince Edward Island","Total, tenure","High 95% confidence interval, number of persons","Number",9046
2021,"Prince Edward Island","Total, tenure","Percentage of persons in core housing need","Percent",4.9
2021,"Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",3.8
2021,"Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of persons","Percent",6.2
2021,"Prince Edward Island","Owner","Number of households in core housing need","Number",1900
2021,"Prince Edward Island","Owner","Low 95% confidence interval, number of households","Number",1272
2021,"Prince Edward Island","Owner","High 95% confidence interval, number of households","Number",2541
2021,"Prince Edward Island","Owner","Percentage of households in core housing need","Percent",4
2021,"Prince Edward Island","Owner","Low 95% confidence interval, percentage of households","Percent",2.9
2021,"Prince Edward Island","Owner","High 95% confidence interval, percentage of households","Percent",5.7
2021,"Prince Edward Island","Owner","Number of persons in core housing need","Number",2400
2021,"Prince Edward Island","Owner","Low 95% confidence interval, number of persons","Number",1476
2021,"Prince Edward Island","Owner","High 95% confidence interval, number of persons","Number",3383
2021,"Prince Edward Island","Owner","Percentage of persons in core housing need","Percent",2.2
2021,"Prince Edward Island","Owner","Low 95% confidence interval, percentage of persons","Percent",1.5
2021,"Prince Edward Island","Owner","High 95% confidence interval, percentage of persons","Percent",3.2
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Number of households in core housing need","Number",200
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",0
2021,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",498
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",4
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",1.6
2021,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",10
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",600
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",107
2021,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",1261
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",3.3
2021,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",1.3
2021,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",8.3
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",1500
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",915
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",2110
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",4
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",2.8
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",5.8
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",1800
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",1099
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",2605
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",2
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",1.4
2021,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",3
2021,"Prince Edward Island","Renter","Number of households in core housing need","Number",2800
2021,"Prince Edward Island","Renter","Low 95% confidence interval, number of households","Number",2187
2021,"Prince Edward Island","Renter","High 95% confidence interval, number of households","Number",3355
2021,"Prince Edward Island","Renter","Percentage of households in core housing need","Percent",14.5
2021,"Prince Edward Island","Renter","Low 95% confidence interval, percentage of households","Percent",11.8
2021,"Prince Edward Island","Renter","High 95% confidence interval, percentage of households","Percent",17.7
2021,"Prince Edward Island","Renter","Number of persons in core housing need","Number",4900
2021,"Prince Edward Island","Renter","Low 95% confidence interval, number of persons","Number",3424
2021,"Prince Edward Island","Renter","High 95% confidence interval, number of persons","Number",6376
2021,"Prince Edward Island","Renter","Percentage of persons in core housing need","Percent",12.6
2021,"Prince Edward Island","Renter","Low 95% confidence interval, percentage of persons","Percent",9.3
2021,"Prince Edward Island","Renter","High 95% confidence interval, percentage of persons","Percent",16.8
2021,"Prince Edward Island","Renter not in social and affordable housing","Number of households in core housing need","Number",2100
2021,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",1560
2021,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",2624
2021,"Prince Edward Island","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",13.2
2021,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",10.2
2021,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",17
2021,"Prince Edward Island","Renter not in social and affordable housing","Number of persons in core housing need","Number",3900
2021,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",2519
2021,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",5360
2021,"Prince Edward Island","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",12
2021,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",8.3
2021,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",17
2021,"Prince Edward Island","Renter in social and affordable housing","Number of households in core housing need","Number",800
2021,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",568
2021,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",1034
2021,"Prince Edward Island","Renter in social and affordable housing","Percentage of households in core housing need","Percent",19.6
2021,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",14.7
2021,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",26
2021,"Prince Edward Island","Renter in social and affordable housing","Number of persons in core housing need","Number",1000
2021,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",650
2021,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",1408
2021,"Prince Edward Island","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",15.8
2021,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",11.2
2021,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",22
2021,"Medium population centres, Prince Edward Island","Total, tenure","Number of households in core housing need","Number",1600
2021,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of households","Number",1170
2021,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of households","Number",2071
2021,"Medium population centres, Prince Edward Island","Total, tenure","Percentage of households in core housing need","Percent",8.3
2021,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of households","Percent",6.3
2021,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of households","Percent",10.9
2021,"Medium population centres, Prince Edward Island","Total, tenure","Number of persons in core housing need","Number",2800
2021,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of persons","Number",1901
2021,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of persons","Number",3877
2021,"Medium population centres, Prince Edward Island","Total, tenure","Percentage of persons in core housing need","Percent",6.5
2021,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",4.5
2021,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of persons","Percent",9.3
2021,"Medium population centres, Prince Edward Island","Owner","Number of households in core housing need","Number",300
2021,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of households","Number",43
2021,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, number of households","Number",647
2021,"Medium population centres, Prince Edward Island","Owner","Percentage of households in core housing need","Percent",3.6
2021,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of households","Percent",1.7
2021,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of households","Percent",7.8
2021,"Medium population centres, Prince Edward Island","Owner","Number of persons in core housing need","Number",600
2021,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of persons","Number",126
2021,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, number of persons","Number",1247
2021,"Medium population centres, Prince Edward Island","Owner","Percentage of persons in core housing need","Percent",2.4
2021,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of persons","Percent",1
2021,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of persons","Percent",5.8
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of households in core housing need","Number",100
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",0
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",367
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",400
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",29
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",1007
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",4.9
2021,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",1.4
